time, amplitude, 
6.2256,-0.05148, 
6.25,-0.26841, 
6.2744,-0.26289, 
6.2988,-0.2298, 
6.3232,-0.17649, 
6.3477,-0.19487, 
6.3721,-0.2059, 
6.3965,-0.07537, 
6.4209,-0.06986, 
6.4453,-0.16913, 
6.4697,-0.24635, 
6.4941,-0.27208, 
6.5186,-0.38239, 
6.543,-0.45041, 
6.5674,-0.32724, 
6.5918,-0.14707, 
6.6162,-0.13972, 
6.6406,-0.09927, 
6.665,-0.07721, 
6.6895,-0.11398, 
6.7139,-0.18936, 
6.7383,-0.23164, 
6.7627,-0.23899, 
6.7871,-0.29415, 
6.8115,-0.24083, 
6.8359,-0.10847, 
6.8604,-0.00919, 
6.8848,0.01103, 
6.9092,-0.07354, 
6.9336,-0.0956, 
6.958,-0.03861, 
6.9824,0.08641, 
7.0068,0.27944, 
7.0313,0.42835, 
7.0557,0.55888, 
7.0801,0.61771, 
7.1045,0.48534, 
7.1289,0.42651, 
7.1533,0.27392, 
7.1777,0.13788, 
7.2021,0.04412, 
7.2266,-0.03309, 
7.251,0.07721, 
7.2754,0.36584, 
7.2998,0.72985, 
7.3242,0.84934, 
7.3486,0.84199, 
7.373,0.3015, 
7.3975,-0.3971, 
7.4219,-0.12685, 
7.4463,-0.54049, 
7.4707,-0.32356, 
7.4951,0.17649, 
7.5195,0.72066, 
7.5439,0.87141, 
7.5684,0.09008, 
7.5928,-0.48166, 
7.6172,-1.0277, 
7.6416,-1.4542, 
7.666,-1.0994, 
7.6904,-0.6747, 
7.7148,-0.16178, 
7.7393,0.58829, 
7.7637,1.1306, 
7.7881,1.4284, 
7.8125,1.1729, 
7.8369,0.45041, 
7.8613,-0.02206, 
7.8857,-0.42651, 
7.9102,-0.4118, 
7.9346,-0.22796, 
7.959,0.18568, 
7.9834,0.83096, 
8.0078,0.98539, 
8.0322,0.6508, 
8.0566,-0.35665, 
8.0811,-1.2979, 
8.1055,-1.9708, 
8.1299,-1.7446, 
8.1543,-0.64896, 
8.1787,0.44489, 
8.2031,1.4082, 
8.2275,1.752, 
8.252,1.2942, 
8.2764,0.06067, 
8.3008,-1.4799, 
8.3252,-2.3348, 
8.3496,-2.219, 
8.374,-1.4395, 
8.3984,-0.26657, 
8.4229,0.69124, 
8.4473,0.76478, 
